,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000001546258,319.9282920228229,495.91188265610316,451.94270694047606,178.9371064780744,304.55189204018376,327.3684307434955,326.74030658117044
ZINC000001679741,807.7896373529533,983.8658587284847,939.8369262363284,666.830150428429,792.4873864775905,815.186634669842,814.7033559291972
ZINC000001530850,166.98848750501514,343.0020446109434,299.42894327775207,26.118057146902622,151.62567761839577,174.40776648787502,173.98467080022237
ZINC000001533058,110.7327987916898,285.02627747739666,243.1938518790138,48.483657148507916,97.9165254154763,117.50071085146828,119.93455216872474
ZINC000000005432,592.5131626615706,768.6644458838334,724.8444678958966,451.61369721904265,577.2798715261042,599.8853317784528,599.5690412295432
ZINC000001642844,637.5650678055994,813.6414060244672,769.6721020249435,496.60323561119947,622.2602250866705,644.9617354718202,644.4911893359392
ZINC000001649340,395.1073786031032,571.0517716947395,526.9436202018704,254.13167650542368,379.71889127522985,402.5571225037597,401.8524663240292
ZINC000161527507,357.03752248405533,182.39075969441296,227.9573557443498,497.99726810708637,372.6275414475602,349.58142474238855,350.7886319384868
ZINC000063539231,139.96574304754645,315.6510541101294,271.6597979252561,7.794346733098179,124.40645662161327,147.50728625316418,146.44591410660018
ZINC000000001875,552.9012787345384,729.0009160278239,685.1193161662071,411.9527020889494,537.614813162818,560.288998666206,559.8779920896844
